ï»¿Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira
SE,SP,BAURU,POSTO JARDIM AMERICA DE BAURU LTDA, 00.002.953/0001-99,AVENIDA NOSSA SENHORA DE FATIMA,6 105,,VILA AVIACAO,17053-460,ETANOL,03/08/2026,"3,69",,R$ / litro,IPIRANGA
SE,SP,BAURU,POSTO ICCAR LTDA, 02.280.133/0032-90,AVENIDA DUQUE DE CAXIAS,23-39,,VILA CARDIA,17044-140,GASOLINA,03/08/2026,"5,75",,R$ / litro,BRANCA
SE,SP,BAURU,POSTO ICCAR LTDA, 02.280.133/0032-90,AVENIDA DUQUE DE CAXIAS,23-39,,VILA CARDIA,17044-140,ETANOL,03/08/2026,"2,91",,R$ / litro,BRANCA
SE,SP,CUBATAO,AUTO POSTO CUBATAO LTDA, 47.498.829/0001-20,AVENIDA NOVE DE ABRIL,1845,,CENTRO,11510-000,GASOLINA,03/08/2026,"6,89",,R$ / litro,RAIZEN
SE,SP,CUBATAO,AUTO POSTO CUBATAO LTDA, 47.498.829/0001-20,AVENIDA NOVE DE ABRIL,1845,,CENTRO,11510-000,GASOLINA ADITIVADA,03/08/2026,"7,29",,R$ / litro,RAIZEN
SE,SP,CUBATAO,AUTO POSTO CUBATAO LTDA, 47.498.829/0001-20,AVENIDA NOVE DE ABRIL,1845,,CENTRO,11510-000,ETANOL,03/08/2026,"4,59",,R$ / litro,RAIZEN
SE,SP,CUBATAO,AUTO POSTO VILA NOVA LTDA, 47.497.565/0001-90,AVENIDA NOVE DE ABRIL,2916,,VILA NOVA,11520-000,GASOLINA,03/08/2026,"6,69",,R$ / litro,VIBRA
SE,SP,CUBATAO,AUTO POSTO VILA NOVA LTDA, 47.497.565/0001-90,AVENIDA NOVE DE ABRIL,2916,,VILA NOVA,11520-000,GASOLINA ADITIVADA,03/08/2026,"6,79",,R$ / litro,VIBRA
SE,SP,CUBATAO,AUTO POSTO VILA NOVA LTDA, 47.497.565/0001-90,AVENIDA NOVE DE ABRIL,2916,,VILA NOVA,11520-000,ETANOL,03/08/2026,"4,19",,R$ / litro,VIBRA
SE,SP,CUBATAO,AUTO POSTO MATHIAS LTDA, 47.489.273/0001-05,AVENIDA JOAQUIM MIGUEL COUTO,619,,VILA COUTO,11510-010,GASOLINA,03/08/2026,"6,88",,R$ / litro,IPIRANGA
SE,SP,CUBATAO,AUTO POSTO MATHIAS LTDA, 47.489.273/0001-05,AVENIDA JOAQUIM MIGUEL COUTO,619,,VILA COUTO,11510-010,GASOLINA ADITIVADA,03/08/2026,"7,19",,R$ / litro,IPIRANGA
SE,SP,CUBATAO,AUTO POSTO MATHIAS LTDA, 47.489.273/0001-05,AVENIDA JOAQUIM MIGUEL COUTO,619,,VILA COUTO,11510-010,ETANOL,03/08/2026,"4,58",,R$ / litro,IPIRANGA
SE,SP,CUBATAO,AUTO POSTO SHALON DA NOVE DE ABRIL LTDA, 46.480.414/0001-66,AVENIDA NOVE DE ABRIL,2590,,CENTRO,11510-003,GASOLINA,03/08/2026,"6,89",,R$ / litro,RAIZEN
SE,SP,CUBATAO,AUTO POSTO SHALON DA NOVE DE ABRIL LTDA, 46.480.414/0001-66,AVENIDA NOVE DE ABRIL,2590,,CENTRO,11510-003,GASOLINA ADITIVADA,03/08/2026,"7,29",,R$ / litro,RAIZEN
SE,SP,CUBATAO,AUTO POSTO SHALON DA NOVE DE ABRIL LTDA, 46.480.414/0001-66,AVENIDA NOVE DE ABRIL,2590,,CENTRO,11510-003,ETANOL,03/08/2026,"4,59",,R$ / litro,RAIZEN
SE,SP,DIADEMA,AUTO POSTO MIKE LTDA EM RECUPERACAO JUDICIAL, 03.238.158/0001-92,AVENIDA ANTONIO PIRANGA,779,,CENTRO,09911-160,GASOLINA,03/08/2026,"6,87",,R$ / litro,RAIZEN
SE,SP,DIADEMA,AUTO POSTO MIKE LTDA EM RECUPERACAO JUDICIAL, 03.238.158/0001-92,AVENIDA ANTONIO PIRANGA,779,,CENTRO,09911-160,GASOLINA ADITIVADA,03/08/2026,"7,59",,R$ / litro,RAIZEN
SE,SP,DIADEMA,AUTO POSTO MIKE LTDA EM RECUPERACAO JUDICIAL, 03.238.158/0001-92,AVENIDA ANTONIO PIRANGA,779,,CENTRO,09911-160,ETANOL,03/08/2026,"3,97",,R$ / litro,RAIZEN
SE,SP,DIADEMA,CENTRO AUTOMOTIVO NAVEGANTES LTDA, 02.975.987/0001-95,AVENIDA NOSSA SENHORA DOS NAVEGANTES,927,,ELDORADO,09972-260,GASOLINA,03/08/2026,"6,79",,R$ / litro,BRANCA
SE,SP,DIADEMA,CENTRO AUTOMOTIVO NAVEGANTES LTDA, 02.975.987/0001-95,AVENIDA NOSSA SENHORA DOS NAVEGANTES,927,,ELDORADO,09972-260,GASOLINA ADITIVADA,03/08/2026,"6,99",,R$ / litro,BRANCA
SE,SP,DIADEMA,CENTRO AUTOMOTIVO NAVEGANTES LTDA, 02.975.987/0001-95,AVENIDA NOSSA SENHORA DOS NAVEGANTES,927,,ELDORADO,09972-260,ETANOL,03/08/2026,"3,99",,R$ / litro,BRANCA
SE,SP,JABOTICABAL,SANCHEZ & SANCHEZ COMERCIO DE COMBUSTIVEIS LTDA, 09.088.785/0001-70,RUA RUI BARBOSA,427,,CENTRO,14870-300,GASOLINA,03/08/2026,"6,65",,R$ / litro,BRANCA
SE,SP,JABOTICABAL,SANCHEZ & SANCHEZ COMERCIO DE COMBUSTIVEIS LTDA, 09.088.785/0001-70,RUA RUI BARBOSA,427,,CENTRO,14870-300,GASOLINA ADITIVADA,03/08/2026,"6,65",,R$ / litro,BRANCA
SE,SP,JABOTICABAL,SANCHEZ & SANCHEZ COMERCIO DE COMBUSTIVEIS LTDA, 09.088.785/0001-70,RUA RUI BARBOSA,427,,CENTRO,14870-300,ETANOL,03/08/2026,"3,89",,R$ / litro,BRANCA
SE,SP,JABOTICABAL,AUTO POSTO MODELO DE JABOTICABAL LTDA., 06.096.368/0001-81,AVENIDA CARLOS BERCHIERI,400,,CENTRO,14870-010,GASOLINA,03/08/2026,"6,79",,R$ / litro,VIBRA
SE,SP,JABOTICABAL,AUTO POSTO MODELO DE JABOTICABAL LTDA., 06.096.368/0001-81,AVENIDA CARLOS BERCHIERI,400,,CENTRO,14870-010,GASOLINA ADITIVADA,03/08/2026,"6,99",,R$ / litro,VIBRA
SE,SP,JABOTICABAL,AUTO POSTO MODELO DE JABOTICABAL LTDA., 06.096.368/0001-81,AVENIDA CARLOS BERCHIERI,400,,CENTRO,14870-010,ETANOL,03/08/2026,"3,99",,R$ / litro,VIBRA
SE,SP,JABOTICABAL,POSTO BEIRA RIO JABOTICABAL LTDA., 05.107.359/0001-86,RUA DOS EXPEDICIONARIOS,33,,CENTRO,14870-255,GASOLINA,03/08/2026,"6,89",,R$ / litro,BRANCA
SE,SP,JABOTICABAL,POSTO BEIRA RIO JABOTICABAL LTDA., 05.107.359/0001-86,RUA DOS EXPEDICIONARIOS,33,,CENTRO,14870-255,ETANOL,03/08/2026,"3,89",,R$ / litro,BRANCA
SE,SP,JABOTICABAL,AUTO POSTO PINHEIROS DE JABOTICABAL LTDA, 00.835.226/0001-02,RUA RAUL DE GOES,88,,JD BRANDI,14871-650,GASOLINA,03/08/2026,"6,79",,R$ / litro,RAIZEN
SE,SP,JABOTICABAL,AUTO POSTO PINHEIROS DE JABOTICABAL LTDA, 00.835.226/0001-02,RUA RAUL DE GOES,88,,JD BRANDI,14871-650,GASOLINA ADITIVADA,03/08/2026,"7,19",,R$ / litro,RAIZEN
SE,SP,JABOTICABAL,AUTO POSTO PINHEIROS DE JABOTICABAL LTDA, 00.835.226/0001-02,RUA RAUL DE GOES,88,,JD BRANDI,14871-650,ETANOL,03/08/2026,"3,99",,R$ / litro,RAIZEN
SE,SP,JALES,BERNARDO & ROSSINI COMERCIO DE COMBUSTIVEIS LTDA, 09.093.968/0001-84,AVENIDA AFONSO ROSSAFA MOLINA,3164,,SANTO EXPEDITO,15700-002,GASOLINA,03/08/2026,"6,39",,R$ / litro,BRANCA
SE,SP,JALES,BERNARDO & ROSSINI COMERCIO DE COMBUSTIVEIS LTDA, 09.093.968/0001-84,AVENIDA AFONSO ROSSAFA MOLINA,3164,,SANTO EXPEDITO,15700-002,ETANOL,03/08/2026,"3,59",,R$ / litro,BRANCA
